Word,Source,Maker
aika,"Papunetin kuvapankki, papunet.net",Sergio Palao
aikuinen,"Papunetin kuvapankki, papunet.net",Sergio Palao
alkoholi,"Papunetin kuvapankki, papunet.net",Sergio Palao
auto,"Papunetin kuvapankki, papunet.net",Annakaisa Ojanen
avaimet,"Papunetin kuvapankki, papunet.net",Sergio Palao
banaani,"Papunetin kuvapankki, papunet.net",Sergio Palao
bussi,"Papunetin kuvapankki, papunet.net",Sergio Palao
euro,"Papunetin kuvapankki, papunet.net",Sergio Palao
haarukka,"Papunetin kuvapankki, papunet.net",Sergio Palao
ikkuna,"Papunetin kuvapankki, papunet.net",Sergio Palao
jalka,"Papunetin kuvapankki, papunet.net",Sergio Palao
järvi,"Papunetin kuvapankki, papunet.net",Elena Chebannaia
jogurtti,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
juna,"Papunetin kuvapankki, papunet.net",Sergio Palao
juusto,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
kahvi,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
kala,"Papunetin kuvapankki, papunet.net",Sergio Palao
kana,"Papunetin kuvapankki, papunet.net",Sergio Palao
kananmuna,"Papunetin kuvapankki, papunet.net",Sergio Palao
käsi,"Papunetin kuvapankki, papunet.net",Sergio Palao
kastike,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
kauppa,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
kauraleipä,"Papunetin kuvapankki, papunet.net","Noel Johansson, Ammattiopisto Spesia"
kenkä,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
kevyt,"Papunetin kuvapankki, papunet.net",Sergio Palao
kirja,"Papunetin kuvapankki, papunet.net",Sergio Palao
kirjasto,"Papunetin kuvapankki, papunet.net",Sergio Palao
kirkko,"Papunetin kuvapankki, papunet.net",Sergio Palao
korva,"Papunetin kuvapankki, papunet.net",Sergio Palao
kuitti,"Papunetin kuvapankki, papunet.net",Sergio Palao
kurkku,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
kuukausi,"Papunetin kuvapankki, papunet.net",Elina Vanninen
kuulokkeet,"Papunetin kuvapankki, papunet.net",Sergio Palao
lahja,"Papunetin kuvapankki, papunet.net",Sergio Palao
lanka,"Papunetin kuvapankki, papunet.net",Sergio Palao
lapsi,"Papunetin kuvapankki, papunet.net",Sergio Palao
laukku,"Papunetin kuvapankki, papunet.net",Sergio Palao
lautanen,"Papunetin kuvapankki, papunet.net",Sergio Palao
leikkele,"Papunetin kuvapankki, papunet.net",Sergio Palao
leipä,"Papunetin kuvapankki, papunet.net",Sergio Palao
liha,"Papunetin kuvapankki, papunet.net",Sergio Palao
lintu,"Papunetin kuvapankki, papunet.net",Elina Vanninen
lompakko,"Papunetin kuvapankki, papunet.net",Sergio Palao
lusikka,"Papunetin kuvapankki, papunet.net",Sergio Palao
lyhyt,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
maito,"Papunetin kuvapankki, papunet.net",Sergio Palao
mehu,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
metsä,"Papunetin kuvapankki, papunet.net",Susanna Juuti
mies,"Papunetin kuvapankki, papunet.net",Sergio Palao
murot,"Papunetin kuvapankki, papunet.net",Sergio Palao
nainen,"Papunetin kuvapankki, papunet.net",Sergio Palao
nenä,"Papunetin kuvapankki, papunet.net",Sergio Palao
nuori,"Papunetin kuvapankki, papunet.net",Elina Vanninen
omena,"Papunetin kuvapankki, papunet.net",Sergio Palao
ovi,"Papunetin kuvapankki, papunet.net",Sergio Palao
pää,"Papunetin kuvapankki, papunet.net",Sergio Palao
painava,"Papunetin kuvapankki, papunet.net",Sergio Palao
pankki,"Papunetin kuvapankki, papunet.net",Sergio Palao
paprika,"Papunetin kuvapankki, papunet.net",Sergio Palao
pasta,"Papunetin kuvapankki, papunet.net",Elina Vanninen
perhe,"Papunetin kuvapankki, papunet.net",Elina Vanninen
pieni,"Papunetin kuvapankki, papunet.net",Sergio Palao
pitkä,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
polku,"Papunetin kuvapankki, papunet.net",Sergio Palao
polkupyörä,"Papunetin kuvapankki, papunet.net",Sergio Palao
postitoimisto,"Papunetin kuvapankki, papunet.net",Sergio Palao
pöytä,"Papunetin kuvapankki, papunet.net",Ideogrammi / Sari Kivimäki
puhelin,"Papunetin kuvapankki, papunet.net",Sergio Palao
pulla,"Papunetin kuvapankki, papunet.net",Sergio Palao
raha,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
rasva,"Papunetin kuvapankki, papunet.net",Sergio Palao
reppu,"Papunetin kuvapankki, papunet.net",Sergio Palao
riisi,"Papunetin kuvapankki, papunet.net",Sergio Palao
rintakehä,"Papunetin kuvapankki, papunet.net",Sergio Palao
ruisleipä,"Papunetin kuvapankki, papunet.net",Sergio Palao
ruoka,"Papunetin kuvapankki, papunet.net",Annakaisa Ojanen
saari,"Papunetin kuvapankki, papunet.net",Sergio Palao
sairaala,"Papunetin kuvapankki, papunet.net",Sergio Palao
sakset,"Papunetin kuvapankki, papunet.net",Sergio Palao
sandaali,"Papunetin kuvapankki, papunet.net",Sergio Palao
sänky,"Papunetin kuvapankki, papunet.net",Sergio Palao
sanomalehti,"Papunetin kuvapankki, papunet.net",Sergio Palao
sateenvarjo,"Papunetin kuvapankki, papunet.net",Annakaisa Ojanen
selkä,"Papunetin kuvapankki, papunet.net",Sergio Palao
sieni,"Papunetin kuvapankki, papunet.net",Sergio Palao
silmä,"Papunetin kuvapankki, papunet.net",Sergio Palao
silmälasit,"Papunetin kuvapankki, papunet.net",Elina Vanninen
sohva,"Papunetin kuvapankki, papunet.net",Elina Vanninen
sokeri,"Papunetin kuvapankki, papunet.net",Sergio Palao
sormi,"Papunetin kuvapankki, papunet.net",Sergio Palao
suola,"Papunetin kuvapankki, papunet.net",Sergio Palao
suomi,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
suu,"Papunetin kuvapankki, papunet.net",Sergio Palao
suuri,"Papunetin kuvapankki, papunet.net",Sergio Palao
taksi,"Papunetin kuvapankki, papunet.net",Elina Vanninen
talo,"Papunetin kuvapankki, papunet.net",Elina Vanninen
tee,"Papunetin kuvapankki, papunet.net",Elina Vanninen
tomaatti,"Papunetin kuvapankki, papunet.net",Paxtoncrafts Charitable Trust
tuli,"Papunetin kuvapankki, papunet.net",Sergio Palao
tuoli,"Papunetin kuvapankki, papunet.net",Elina Vanninen
työ,"Papunetin kuvapankki, papunet.net",Sergio Palao
vanha,"Papunetin kuvapankki, papunet.net",Elina Vanninen
vatsa,"Papunetin kuvapankki, papunet.net",Sergio Palao
veitsi,"Papunetin kuvapankki, papunet.net",Sergio Palao
vesi,"Papunetin kuvapankki, papunet.net",Sergio Palao
viikko,"Papunetin kuvapankki, papunet.net",Sergio Palao
vuosi,"Papunetin kuvapankki, papunet.net",Sergio Palao
ystävä,"Papunetin kuvapankki, papunet.net",Sergio Palao
kanelipulla,"Papunetin kuvapankki, papunet.net",Sergio Palao
"käsi, oikea","Papunetin kuvapankki, papunet.net",Sergio Palao

